time,open,high,low,close,200 EMA,Volume,Volume MA 20,MACD,Signal Line,Histogram,Cross
1600129800,125.355,125.47,125.345,125.462,125.5577025,5640,3198.85,-0.040168656,-0.055625629,0.015456972,NaN
1600131600,125.462,125.475,125.365,125.443,125.5565612,5323,3106,-0.036725768,-0.051611775,0.014886007,NaN
1600133400,125.443,125.492,125.418,125.45,125.5555009,5712,3091.85,-0.033051416,-0.047338172,0.014286756,NaN
1600135200,125.45,125.528,125.436,125.507,125.5550183,4924,3113.55,-0.025248987,-0.042643857,0.017394869,NaN
1600137000,125.507,125.553,125.496,125.549,125.5549584,2811,3056.85,-0.015497808,-0.037629102,0.022131294,NaN
1600138800,125.549,125.635,125.549,125.613,125.555536,3427,3023.75,-0.002575969,-0.032039307,0.029463337,NaN
1600140600,125.613,125.663,125.597,125.658,125.5565555,2585,2982.75,0.011167078,-0.025522004,0.036689081,NaN
1600142400,125.658,125.663,125.6,125.647,125.5574554,2821,2987.65,0.020929669,-0.018565018,0.039494688,NaN
1600144200,125.647,125.715,125.642,125.694,125.5588141,2333,2940.85,0.032089196,-0.009898073,0.04198727,NaN
1600146000,125.694,125.75,125.67,125.693,125.5601493,3612,2890.7,0.040386955,-0.00094745,0.041334405,NaN
1600147800,125.693,125.698,125.655,125.692,125.5614612,2636,2831.45,0.046348025,0.008282971,0.038065054,NaN
1600149600,125.692,125.723,125.622,125.653,125.5623721,5762,3023.15,0.047379086,0.017219694,0.030159392,NaN
1600151400,125.653,125.693,125.581,125.682,125.5635624,5402,3254.4,0.049960355,0.025576287,0.024384067,NaN
1600153200,125.682,125.741,125.593,125.646,125.5643827,8201,3652.25,0.048541572,0.032691774,0.015849798,NaN
1600155000,125.646,125.672,125.567,125.627,125.5650057,7576,3979.15,0.045361141,0.03801812,0.007343021,NaN
1600156800,125.627,125.675,125.571,125.673,125.5660803,6225,4201.65,0.04602193,0.041890881,0.004131049,NaN
1600158600,125.673,125.73,125.672,125.692,125.5673332,5197,4378.1,0.047530845,0.044846567,0.002684278,NaN
1600160400,125.692,125.769,125.687,125.71,125.5687528,6779,4663.55,0.049607279,0.046793021,0.002814258,NaN
1600162200,125.71,125.711,125.591,125.594,125.569004,4941,4847.7,0.041415228,0.046907273,-0.005492045,0.046907273
1600164000,125.594,125.659,125.523,125.618,125.5694915,5773,4884,0.036439516,0.045806328,-0.009366812,NaN
1600165800,125.618,125.701,125.601,125.656,125.5703523,5405,4872.25,0.03515724,0.044448345,-0.009291105,NaN
1600167600,125.656,125.662,125.494,125.51,125.5697518,8616,5036.9,0.022105232,0.041353331,-0.019248099,NaN
1600169400,125.51,125.57,125.448,125.486,125.5689184,7535,5128.05,0.009712858,0.03703903,-0.027326171,NaN
1600171200,125.486,125.499,125.305,125.34,125.5666407,10617,5412.7,-0.011753678,0.030692939,-0.042446617,NaN
1600173000,125.34,125.367,125.129,125.169,125.562684,10512,5797.75,-0.04207927,0.020903917,-0.062983186,NaN
1600174800,125.169,125.199,125.043,125.08,125.5578812,7758,6014.3,-0.072458816,0.007571732,-0.080030548,NaN
1600176600,125.08,125.12,124.926,124.997,125.5523003,16192,6694.65,-0.102055795,-0.00927972,-0.092776075,NaN
1600178400,124.997,124.997,124.755,124.821,125.5450237,15964,7351.8,-0.138121169,-0.029228209,-0.10889296,NaN
1600180200,124.821,125.049,124.762,124.985,125.5394513,14532,7961.75,-0.151720865,-0.050134918,-0.101585947,NaN
1600182000,124.985,125.018,124.931,125.003,125.5341135,8436,8202.95,-0.159210987,-0.071731388,-0.087479599,NaN
1600183800,125.003,125.03,124.967,124.981,125.5286099,5370,8339.65,-0.165019932,-0.092523073,-0.072496859,NaN
1600185600,124.981,125.022,124.96,124.964,125.5229918,4055,8254.3,-0.169046656,-0.112385241,-0.056661415,NaN
1600187400,124.964,125.006,124.956,124.999,125.517778,3591,8163.75,-0.167483016,-0.129688501,-0.037794515,NaN
1600189200,124.999,125.015,124.956,125.012,125.5127454,3907,7949.05,-0.163312267,-0.143158834,-0.020153433,NaN
1600191000,125.012,125.073,124.975,125.022,125.5078623,4088,7774.65,-0.157385756,-0.15259516,-0.004790596,NaN
1600192800,125.022,125.026,124.943,124.966,125.5024707,3118,7619.3,-0.155416146,-0.158524088,0.003107943,-0.158524088
1600194600,124.966,125.023,124.944,125.014,125.4976103,3531,7536,-0.148272819,-0.159652049,0.01137923,NaN
1600196400,125.014,125.016,124.903,124.905,125.4917137,4400,7417.05,-0.149681634,-0.159425468,0.009743834,NaN
1600198200,124.905,124.911,124.852,124.902,125.4858459,3049,7322.45,-0.149318949,-0.158326353,0.009007404,NaN
1600200000,124.902,124.944,124.889,124.918,125.4801956,1777,7122.65,-0.1460568,-0.156219338,0.010162538,NaN
1600201800,124.918,124.937,124.898,124.908,125.4745022,537,6879.25,-0.142634242,-0.153284625,0.010650384,NaN
1600203600,124.908,124.908,124.837,124.892,125.4687061,687,6482.8,-0.139603642,-0.150186917,0.010583276,NaN
1600205400,124.892,124.902,124.862,124.895,125.4629976,735,6142.8,-0.135398999,-0.147085443,0.011686444,NaN
1600207200,124.895,124.931,124.878,124.91,125.4574951,1383,5681.1,-0.129365174,-0.143972045,0.014606871,NaN
1600209000,124.91,124.919,124.89,124.902,125.4519678,1100,5210.5,-0.123801747,-0.140459334,0.016657587,NaN
1600210800,124.902,124.906,124.837,124.838,125.4458587,955,4870.35,-0.123137504,-0.137666521,0.014529017,NaN
1600212600,124.838,124.871,124.767,124.816,125.4395914,2106,4166.05,-0.122968795,-0.134698428,0.011729633,NaN
1600214400,124.816,124.818,124.525,124.661,125.4318443,7929,3764.3,-0.133799935,-0.132974093,-0.000825842,-0.132974093
1600216200,124.661,124.706,124.642,124.676,125.4243234,5224,3298.9,-0.139564503,-0.132252727,-0.007311776,NaN
1600218000,124.676,124.69,124.581,124.626,125.4163799,5644,3159.3,-0.146479028,-0.132679925,-0.013799103,NaN
1600219800,124.626,124.704,124.617,124.694,125.409192,5743,3177.95,-0.144802613,-0.133257589,-0.011545024,NaN
1600221600,124.694,124.767,124.682,124.734,125.4024737,4090,3179.7,-0.138648127,-0.133618603,-0.005029524,NaN
1600223400,124.734,124.756,124.684,124.72,125.3956829,2636,3131.95,-0.13336301,-0.134062807,0.000699797,-0.134062807
1600225200,124.72,124.766,124.71,124.739,125.3891488,2506,3061.9,-0.126186773,-0.13432781,0.008141037,NaN
1600227000,124.739,124.754,124.712,124.716,125.3824508,2461,2980.55,-0.120961096,-0.134085987,0.01312489,NaN
1600228800,124.716,124.738,124.698,124.737,125.3760284,3067,2978,-0.113813218,-0.1330687,0.019255482,NaN
1600230600,124.737,124.761,124.68,124.756,125.3698589,2308,2916.85,-0.105400342,-0.12991319,0.024512848,NaN
1600232400,124.756,124.769,124.744,124.752,125.3637111,1812,2787.45,-0.097927002,-0.125286801,0.027359799,NaN
1600234200,124.752,124.835,124.722,124.801,125.358112,3675,2818.75,-0.087047012,-0.118683244,0.031636231,NaN
1600236000,124.801,124.83,124.735,124.808,125.3526382,4423,2951.05,-0.07697241,-0.111146555,0.034174144,NaN
1600237800,124.808,124.925,124.791,124.878,125.3479155,4234,3135.9,-0.06261798,-0.10269876,0.040080781,NaN
1600239600,124.878,124.934,124.787,124.85,125.3429611,6185,3410.8,-0.052891654,-0.093757499,0.040865845,NaN
1600241400,124.85,124.912,124.796,124.835,125.3379067,6526,3700.35,-0.045865141,-0.084832873,0.038967732,NaN
1600243200,124.835,124.892,124.802,124.867,125.3332211,8514,4056.9,-0.037284651,-0.07553549,0.038250839,NaN
1600245000,124.867,124.892,124.785,124.824,125.3281542,4185,4211.15,-0.033567349,-0.066619282,0.033051934,NaN
1600246800,124.824,124.916,124.79,124.905,125.3239437,6191,4472.95,-0.02381086,-0.057553784,0.033742924,NaN
1600248600,124.905,125.014,124.888,124.962,125.3203423,5954,4665.35,-0.01134853,-0.047933954,0.036585424,NaN
1600250400,124.962,124.975,124.837,124.837,125.3155329,5429,4540.35,-0.011426778,-0.039531706,0.028104928,NaN
1600252200,124.837,124.853,124.607,124.664,125.30905,9598,4759.05,-0.025158434,-0.033774597,0.008616164,NaN
1600254000,124.664,124.734,124.609,124.716,125.303149,6413,4797.5,-0.031481999,-0.030315044,-0.001166955,-0.030315044
1600255800,124.716,124.745,124.677,124.711,125.297257,5700,4795.35,-0.036476451,-0.028491133,-0.007985319,NaN
1600257600,124.711,124.788,124.686,124.707,125.2913838,6207,4901.2,-0.040292886,-0.027871993,-0.012420892,NaN
1600259400,124.707,124.727,124.268,124.368,125.2821959,15405,5539.65,-0.069866526,-0.031492201,-0.038374325,NaN
1600261200,124.368,124.437,124.347,124.414,125.2735571,9815,5905.1,-0.088571042,-0.037603723,-0.050967319,NaN
1600263000,124.414,124.435,124.171,124.182,125.2626959,10404,6302.25,-0.120723343,-0.048371777,-0.072351567,NaN
1600264800,124.182,124.251,123.912,123.927,125.2494053,18314,7064.6,-0.164880008,-0.06543083,-0.099449179,NaN
1600266600,123.927,124.064,123.891,124.013,125.2371028,16869,7792.65,-0.190736313,-0.085354111,-0.105382201,NaN
1600268400,124.013,124.228,124.001,124.173,125.2265147,11437,8273.9,-0.196056935,-0.104342834,-0.091714101,NaN
1600270200,124.173,124.209,124.143,124.191,125.2162111,6709,8425.6,-0.19655535,-0.122684317,-0.073871032,NaN
1600272000,124.191,124.226,124.158,124.187,125.2059702,3791,8394,-0.195024987,-0.140300821,-0.054724165,NaN
1600273800,124.187,124.199,124.13,124.134,125.1953038,3324,8348.5,-0.195831397,-0.157582878,-0.038248519,NaN
1600275600,124.134,124.167,124.107,124.139,125.1847933,4169,8247.7,-0.193832643,-0.171356891,-0.022475752,NaN
1600277400,124.139,124.185,124.112,124.123,125.1742282,7812,8312,-0.191334102,-0.182775009,-0.008559094,NaN
1600279200,124.123,124.28,124.025,124.038,125.1629225,33785,9575.55,-0.193976737,-0.190914275,-0.003062462,NaN
1600281000,124.038,124.142,123.891,123.905,125.1504058,34493,11090.95,-0.204446303,-0.19531053,-0.009135773,NaN
1600282800,123.905,123.984,123.849,123.913,125.1380933,22137,11888.25,-0.209680905,-0.197415484,-0.012265421,NaN
1600284600,123.913,123.937,123.837,123.895,125.1257242,12160,12198.55,-0.212828461,-0.199278987,-0.013549474,NaN
1600286400,123.895,123.986,123.879,123.961,125.1141349,4730,12163.6,-0.207604142,-0.200506631,-0.007097511,NaN
1600288200,123.961,124.053,123.961,123.997,125.1030192,2543,11810.85,-0.19827336,-0.200867561,0.002594201,-0.200867561
1600290000,123.997,124.025,123.93,124.016,125.0922031,4958,11738.1,-0.187187724,-0.199907153,0.01271943,NaN
1600291800,124.016,124.027,123.85,123.982,125.0811563,1235,11514.85,-0.179081453,-0.198268132,0.019186679,NaN
1600293600,123.982,124.082,123.975,124.071,125.071105,3455,11377.25,-0.163589857,-0.195185438,0.031595581,NaN
1600295400,124.071,124.085,124.009,124.062,125.0610641,2604,10737.2,-0.150306244,-0.190333161,0.040026917,NaN
1600297200,124.062,124.067,124.019,124.047,125.0509739,2041,10348.5,-0.139382544,-0.183103854,0.043721311,NaN
1600299000,124.047,124.056,124.001,124.025,125.0407652,3022,9979.4,-0.13099067,-0.174360495,0.043369825,NaN
1600300800,124.025,124.026,123.527,123.628,125.0267079,10819,9604.65,-0.154592585,-0.167889842,0.013297257,NaN
1600302600,123.628,123.749,123.567,123.725,125.0137555,9796,9251,-0.163584483,-0.162998769,-0.000585714,-0.162998769
1600304400,123.725,123.818,123.713,123.787,125.001549,7060,9032.15,-0.163819338,-0.159170544,-0.004648794,NaN
1600306200,123.787,123.832,123.61,123.669,124.9882898,14066,9400,-0.171549559,-0.15743297,-0.014116589,NaN
1600308000,123.669,123.686,123.599,123.623,124.9747049,9102,9665.55,-0.179320535,-0.157459535,-0.021861,NaN
1600309800,123.623,123.678,123.609,123.623,124.9612551,3964,9697.55,-0.183365368,-0.159656814,-0.023708554,NaN
1600311600,123.623,123.627,123.311,123.45,124.9462177,11266,10052.4,-0.198245333,-0.164983379,-0.033261953,NaN
1600313400,123.45,123.551,123.373,123.48,124.9316285,5566,9940.1,-0.205251056,-0.172302103,-0.032948953,NaN
1600315200,123.48,123.532,123.443,123.532,124.9177018,3002,8400.95,-0.204252679,-0.180442326,-0.023810353,NaN
1600317000,123.532,123.568,123.509,123.559,124.9041824,2549,6803.75,-0.198988963,-0.185375257,-0.013613706,NaN
1600318800,123.559,123.634,123.542,123.617,124.8913746,4506,5922.2,-0.187970508,-0.188084815,0.000114308,-0.188084815
1600320600,123.617,123.629,123.535,123.558,124.8781072,5207,5574.55,-0.181902254,-0.190094028,0.008191775,NaN
1600322400,123.558,123.602,123.469,123.493,124.864325,10530,5864.55,-0.180260148,-0.191061872,0.010801723,NaN
1600324200,123.493,123.52,123.358,123.466,124.8504114,12071,6340.95,-0.179073198,-0.19103439,0.011961191,NaN
1600326000,123.466,123.515,123.341,123.462,124.8365963,15396,6862.85,-0.17642162,-0.190262862,0.013841242,NaN
1600327800,123.462,123.584,123.391,123.569,124.8239834,12459,7424.05,-0.163798057,-0.186435387,0.02263733,NaN
1600329600,123.569,123.746,123.549,123.718,124.8129786,11310,7816.8,-0.140155116,-0.179202505,0.039047388,NaN
1600331400,123.718,123.746,123.609,123.638,124.8012873,7219,8047.55,-0.126416002,-0.170553985,0.044137983,NaN
1600333200,123.638,123.646,123.462,123.53,124.7886377,8722,8381.6,-0.122826486,-0.162091488,0.039265002,NaN
1600335000,123.53,123.633,123.455,123.613,124.7769398,6827,8571.85,-0.111993371,-0.153649584,0.041656212,NaN
1600336800,123.613,123.623,123.499,123.558,124.764811,7233,8392.55,-0.106617076,-0.145284564,0.038667488,NaN
1600338600,123.558,123.626,123.484,123.566,124.7528825,7116,8258.55,-0.100551692,-0.136428069,0.035876377,NaN
1600340400,123.566,123.614,123.438,123.503,124.7404459,14748,8642.95,-0.099679363,-0.127606531,0.027927168,NaN
1600342200,123.503,123.533,123.377,123.419,124.7272972,8764,8377.85,-0.104560823,-0.119621998,0.015061176,NaN
1600344000,123.419,123.455,123.334,123.393,124.7140206,10868,8466.15,-0.109267826,-0.113563084,0.004295258,NaN
1600345800,123.393,123.515,123.376,123.46,124.7015428,10471,8791.5,-0.106365702,-0.109808704,0.003443003,NaN
1600347600,123.46,123.527,123.351,123.493,124.6895175,12906,8873.5,-0.100247334,-0.106901075,0.00665374,NaN
1600349400,123.493,123.687,123.37,123.651,124.679184,18973,9543.85,-0.081707334,-0.10233228,0.020624946,NaN
1600351200,123.651,123.733,123.511,123.513,124.6675802,16277,10207.6,-0.077259101,-0.098472917,0.021213816,NaN
1600353000,123.513,123.665,123.497,123.635,124.6573057,22055,11182.9,-0.063161379,-0.093644506,0.030483127,NaN
1600354800,123.635,123.922,123.632,123.881,124.6495813,13051,11610.15,-0.031772436,-0.086002366,0.05422993,NaN
1600356600,123.881,123.919,123.833,123.871,124.6418342,9702,11834.9,-0.007615601,-0.07577306,0.068157458,NaN
1600358400,123.871,123.888,123.819,123.876,124.634214,6105,11613.65,0.011796342,-0.062844486,0.074640827,NaN
1600360200,123.876,123.959,123.844,123.936,124.6272666,6299,11325.05,0.031657022,-0.047186169,0.078843192,NaN
