time,open,high,low,close,200 EMA,MACD,Signal Line,Histogram,Cross,Close Above 200 EMA,Close Below 200 EMA,MACD under zero,MACD over zero,Close Up Relative to Yesterday,Close Down Relative to Yesterday
1242939600,131.115,132.982,130.72,132.74,133.2203052,0.372449901,0.375072665,-0.002622764,0,0,1,,,,
1243198800,132.74,133.422,132.064,132.866,133.2167798,0.489928664,0.341611958,0.148316705,1,0,1,,,,
1243285200,132.866,133.286,131.477,132.85,133.2131303,0.575110843,0.340442829,0.234668015,0,0,1,,,,
1243371600,132.85,133.515,131.809,131.826,133.199328,0.553608439,0.346283431,0.207325008,0,0,1,,,,
1243458000,131.826,135.287,131.673,134.994,133.2171854,0.783170846,0.40619267,0.376978176,0,1,0,,,,
1243544400,134.994,135.7,134.252,134.677,133.2317109,0.92881466,0.484894927,0.443919733,0,1,0,,,,
1243803600,134.677,137.246,133.88,136.586,133.2650869,1.184623179,0.591969277,0.592653902,0,1,0,,,,
1243890000,136.586,137.447,135.771,136.938,133.3016333,1.399622751,0.724138356,0.675484396,0,1,0,,,,
1243976400,136.938,138.009,135.295,135.91,133.3275872,1.470113895,0.861938131,0.608175764,0,1,0,,,,
1244062800,135.91,137.425,135.587,136.934,133.3634719,1.590275174,0.99725205,0.593023124,0,1,0,,,,
1244149200,136.934,139.225,136.262,138.019,133.4097956,1.752848539,1.137576481,0.615272058,0,1,0,,,,
1244408400,138.019,138.019,135.975,136.835,133.4438772,1.765795209,1.269874744,0.495920466,0,1,0,,,,
1244494800,136.835,137.33,135.696,136.934,133.4786048,1.763713025,1.404330809,0.359382216,0,1,0,,,,
1244581200,136.934,138.34,136.683,137.18,133.5154346,1.761606322,1.513045862,0.248560461,0,1,0,,,,
1244667600,137.18,137.992,136.585,137.71,133.5571716,1.782159688,1.607861976,0.174297712,0,1,0,,,,
1244754000,137.71,138.292,136.873,137.693,133.5983241,1.776597115,1.673636858,0.102960257,0,1,0,,,,
1245013200,137.693,137.815,134.435,134.987,133.6121418,1.536129605,1.688804286,-0.152674681,1,1,0,,,,
1245099600,134.987,135.376,132.73,133.346,133.6094936,1.199317401,1.658715787,-0.459398386,0,0,1,,,,
1245186000,133.346,134.61,132.354,133.442,133.607827,0.92942388,1.585287865,-0.655863985,0,0,1,,,,
1245272400,133.442,134.984,133.025,134.152,133.6132417,0.764015294,1.475417504,-0.71140221,0,1,0,,,,
1245358800,134.152,135.164,134.059,134.118,133.6182641,0.623002695,1.348440558,-0.725437864,0,1,0,,,,
1245618000,134.118,134.295,132.49,132.885,133.610968,0.407064018,1.19770178,-0.790637762,0,0,1,,,,
1245704400,132.885,134.391,131.418,134.043,133.6152668,0.325618456,1.038147572,-0.712529116,0,1,0,,,,
1245790800,134.043,134.98,132.971,133.199,133.6111248,0.190769444,0.861326434,-0.670556991,0,0,1,,,,
1245877200,133.199,134.818,133.158,134.171,133.6166957,0.160482959,0.681758195,-0.521275236,0,1,0,,,,
1245963600,134.171,134.932,133.71,133.91,133.6196142,0.114104853,0.523755444,-0.409650591,0,1,0,,,,
1246222800,133.91,135.49,133.367,135.251,133.6358469,0.183442749,0.410880483,-0.227437734,0,1,0,,,,
1246309200,135.251,135.955,134.35,135.178,133.6511917,0.229853434,0.333150433,-0.103297,0,1,0,,,,
1246395600,135.178,136.89,135.031,136.649,133.6810206,0.380940398,0.290586556,0.090353842,1,1,0,,,,
1246482000,136.649,136.77,134.135,134.307,133.6872493,0.308145964,0.255602475,0.05254349,0,1,0,,,,
1246568400,134.307,134.815,133.58,134.278,133.6931274,0.245288263,0.237627391,0.007660872,0,1,0,,,,
1246827600,134.278,134.278,131.73,133.304,133.6892555,0.115547463,0.21428617,-0.098738707,1,0,1,,,,
1246914000,133.304,133.925,131.827,132.084,133.6732828,-0.08474003,0.183674006,-0.268414036,0,0,1,,,,
1247000400,132.084,132.101,127.003,128.913,133.6259168,-0.493651997,0.110992344,-0.604644341,0,0,1,,,,
1247086800,128.913,130.88,128.08,130.329,133.5931116,-0.695441692,0.021042728,-0.71648442,0,0,1,,,,
1247173200,130.329,130.615,127.81,128.898,133.5463941,-0.959767616,-0.105980646,-0.85378697,0,0,1,,,,
1247432400,128.898,130.205,128,129.903,133.5101414,-1.075752113,-0.251047929,-0.824704185,0,0,1,,,,
1247518800,129.903,130.944,129.349,130.583,133.4810157,-1.100118861,-0.415610069,-0.684508792,0,0,1,,,,
1247605200,130.583,133.406,130.461,132.904,133.4752742,-0.921521653,-0.552239804,-0.369281849,0,0,1,,,,
1247691600,132.904,133.216,131.591,132.859,133.4691421,-0.774683138,-0.66556996,-0.109113179,0,0,1,,,,
1247778000,132.859,133.48,131.727,133.029,133.4647626,-0.637249167,-0.74921403,0.111964863,1,0,1,,,,
1248037200,133.029,134.76,132.769,134.011,133.4701978,-0.443974697,-0.789128993,0.345154296,0,1,0,,,,
1248123600,134.011,134.5,132.397,133.32,133.4687033,-0.342611796,-0.772346748,0.429734952,0,0,1,,,,
1248210000,133.32,133.595,132.085,133.156,133.4655918,-0.272374632,-0.725339297,0.452964665,0,0,1,,,,
1248296400,133.156,135.629,132.841,134.26,133.4734964,-0.126173154,-0.63271769,0.506544536,0,1,0,,,,
1248382800,134.26,135.19,133.848,134.678,133.4854815,0.023154764,-0.510616926,0.53377169,0,1,0,,,,
1248642000,134.678,136.095,134.26,135.433,133.5048598,0.200113619,-0.36614665,0.56626027,0,1,0,,,,
1248728400,135.433,135.977,132.9,133.925,133.5090403,0.216179804,-0.239735377,0.455915181,0,1,0,,,,
1248814800,133.925,134.393,132.778,133.423,133.5081842,0.186258099,-0.132964129,0.319222228,0,0,1,,,,
1248901200,133.423,134.893,133.201,134.477,133.5178241,0.24477234,-0.034961739,0.279734079,0,1,0,,,,
1248987600,134.477,135.556,134.285,134.845,133.5310298,0.317183528,0.049611397,0.267572131,0,1,0,,,,
1249246800,134.845,137.56,134.579,137.29,133.5684325,0.565344049,0.15049538,0.414848669,0,1,0,,,,
1249333200,137.29,137.695,135.977,137.179,133.6043586,0.744474439,0.26347861,0.480995829,0,1,0,,,,
1249419600,137.179,137.596,136.198,136.755,133.6357082,0.84251136,0.371110223,0.471401138,0,1,0,,,,
1249506000,136.755,137.96,136.572,136.909,133.6682783,0.922004545,0.47098242,0.451022125,0,1,0,,,,
1249592400,136.909,138.72,136.52,138.165,133.7130218,1.073972089,0.568077806,0.505894283,0,1,0,,,,
1249851600,138.165,138.611,136.93,137.333,133.7490415,1.114425611,0.667882896,0.446542715,0,1,0,,,,
1249938000,137.333,137.417,135.25,135.78,133.76925,1.009533918,0.759357987,0.250175932,0,1,0,,,,
1250024400,135.78,137.251,134.082,136.19,133.7933371,0.94855571,0.837556139,0.110999571,0,1,0,,,,
1250110800,136.19,137.858,135.55,136.428,133.8195527,0.908956764,0.903308721,0.005648043,0,1,0,,,,
1250197200,136.428,136.46,134.191,134.508,133.8264029,0.714411074,0.919871723,-0.205460649,1,1,0,,,,
1250456400,134.508,134.523,132.507,133.051,133.8186874,0.43761988,0.885776772,-0.448156892,0,0,1,,,,
1250542800,133.051,134.815,132.78,133.815,133.8186507,0.27671943,0.822911002,-0.546191572,0,0,1,,,,
